case,config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,copied_from_v190,copied_from_v740,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,mask_inside_ratio,edge_alignment,rgb_residual,silhouette_coverage,fair_3d_score,prediction_npz,ply
0012_11_frame001,source_label_only_control,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9958333333333333,0.05305,0.15844058990478516,1.0,0.7491800486857096,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
0012_11_frame001,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.868,0.028266666666666666,0.1537325084209442,0.8211586901763224,0.6588045041932251,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0012_11_frame001\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
0013_01_frame001,real_per_case_residual_true,60000,24000,0.7142857142857143,True,True,False,False,False,False,1.0,0.0959,0.0,1.0,0.792057,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\real_per_case_residual_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\real_per_case_residual_true\full_scene_rgb_pointcloud.ply
0013_01_frame001,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9981666666666666,0.04098333333333333,0.0,1.0,0.7788395,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
0013_01_frame001,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9981666666666666,0.04098333333333333,0.0,1.0,0.7788395,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
0013_01_frame001,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.8631833333333333,0.03505,0.13163165748119354,0.8317307692307693,0.6658865274781203,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
0013_01_frame001,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9965,0.017566666666666668,0.04083821177482605,0.9663461538461539,0.7563392294399066,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
0013_01_frame001,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,False,False,False,False,1.0,0.0959,0.19215208292007446,1.0,0.7536265834159851,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
0013_01_frame001,source_label_only_control,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9981666666666666,0.04098333333333333,0.16498275101184845,1.0,0.7458429497976303,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
0013_01_frame001,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.8631833333333333,0.03505,0.1603194922208786,0.8317307692307693,0.6601489605301832,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0013_01_frame001\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
